"","Name","pct"
"1","Innere Stadt",7.52178038471491
"2","Leopoldstadt",8.49557225839932
"3","Landstraße",7.92542883801048
"4","Wieden",9.12485872930077
"5","Margareten",8.722366710013
"6","Mariahilf",9.75633865467306
"7","Neubau",11.7330988667448
"8","Josefstadt",10.8076996866407
"9","Alsergrund",9.83278877570632
"10","Favoriten",3.46601728431229
"11","Simmering",3.02823807070321
"12","Meidling",5.16809106381421
"13","Hietzing",6.84237067707089
"14","Penzing",6.56382943087797
"15","Rudolfsheim-Fünfhaus",7.70435005774413
"16","Ottakring",7.29528273625967
"17","Hernals",8.45663344270414
"18","Währing",10.3404984996019
"19","Döbling",6.21804557968165
"20","Brigittenau",5.51124161809177
"21","Floridsdorf",3.5542523089566
"22","Donaustadt",3.8959723963891
"23","Liesing",4.71011065922633
